Lch,Wch,Tch,Tox1,Tox2
23.4,38.32,7.18,0.9,1.82
31.02,44.43,5.08,0.96,2.03
29.4,22.81,6.42,0.76,1.74
29.18,50.91,4.77,0.59,1.89
25.64,76.95,4.06,0.28,1.78
26.92,56.1,5.73,0.38,1.96
21.05,39.4,6.34,0.88,1.78
18.55,19.6,4.18,0.35,1.92
28.25,47.38,5.33,1.07,1.5
29.53,42.34,4.08,0.27,2.03
18.9,53.84,7.43,0.35,1.8
19.78,46.97,5.93,0.81,1.52
29.87,36.94,7.09,0.27,2.1
22.86,71.92,4.51,1.18,1.78
15.4,75.58,5.94,0.47,1.56
28.93,58.54,7.48,1.16,1.94
27.77,31.73,6.68,0.88,1.97
24.23,79.69,6.79,1.05,1.76
34.6,63.57,7.75,0.31,1.68
24.31,39.19,5.85,0.65,1.55
27.11,61.13,7.69,0.57,1.58
19.25,74.77,5.78,1.14,1.92
17.37,34.04,5.37,1.17,1.59
16.36,54.9,4.32,0.43,1.9
18.38,16.13,7.78,0.58,1.93
20.67,25.98,5.39,0.47,1.99
17.85,17.22,4.43,1.2,1.58
17.83,57.59,5.33,0.66,2.19
23.35,45.85,5.0,0.26,1.98
29.76,73.17,5.45,0.33,1.75
22.09,65.11,5.3,0.72,1.98
22.73,21.01,5.6,0.89,1.6
32.35,33.64,4.42,0.69,1.86
26.47,42.21,7.15,0.34,1.59
29.73,43.28,6.02,0.62,1.62
15.92,76.87,5.19,0.32,1.9
26.08,17.88,6.54,0.52,1.59
18.44,25.23,6.52,0.81,2.11
24.66,31.82,5.31,0.27,2.02
15.23,33.25,4.29,1.0,1.86
32.72,44.87,7.49,0.54,2.03
17.02,39.57,5.81,0.48,1.83
30.63,70.73,6.41,0.54,2.13
30.55,70.47,7.11,1.0,2.15
32.81,32.15,7.73,0.77,1.69
31.82,37.31,6.65,0.87,2.05
25.73,31.08,5.49,0.73,1.57
24.71,30.71,4.94,0.91,1.77
33.57,67.75,7.46,0.4,1.76
19.65,50.25,6.97,0.93,2.03
33.97,55.53,7.08,0.85,1.8
21.84,71.6,6.91,0.35,1.93
19.62,20.26,7.93,0.8,2.16
16.7,33.77,5.87,0.66,1.77
33.64,66.54,7.84,1.16,1.97
20.31,65.72,4.84,0.8,1.94
21.99,54.11,7.72,0.62,2.18
26.23,45.9,5.69,0.97,1.7
33.37,63.12,7.61,0.8,2.13
23.01,56.7,4.17,0.54,1.8
25.61,48.44,6.0,0.24,1.85
33.54,27.84,5.91,0.89,1.89
20.29,70.23,4.23,0.37,1.72
29.91,27.37,5.43,1.16,1.99
22.3,79.28,5.8,1.04,2.05
30.28,33.01,5.48,0.9,1.86
31.18,62.1,6.54,1.08,2.01
23.76,20.11,7.51,1.13,2.12
23.17,22.15,6.61,0.49,1.65
29.27,52.9,4.86,1.17,2.09
30.77,20.36,4.72,1.17,1.62
23.97,72.07,7.69,1.14,1.54
25.48,38.24,6.77,0.83,2.01
28.13,30.47,5.7,1.06,2.14
16.44,53.79,7.47,0.25,1.84
17.43,67.59,7.71,0.96,2.11
30.76,36.01,4.23,0.97,2.1
19.78,28.63,5.45,0.68,1.7
23.28,60.89,4.34,0.91,1.63
24.25,75.34,7.05,0.44,1.85
17.88,17.47,4.28,1.12,2.17
21.14,74.19,7.24,0.92,1.82
17.49,58.2,5.4,1.2,2.16
23.51,77.63,4.82,0.96,1.8
25.2,26.04,5.29,0.21,2.13
29.25,47.15,5.42,0.51,2.16
31.09,37.99,8.0,0.6,1.79
22.9,15.41,5.64,0.74,1.87
30.38,72.93,5.97,0.42,1.54
27.2,72.32,6.95,1.14,2.15
17.12,70.35,7.5,0.74,1.9
19.15,46.88,7.36,1.05,1.99
21.5,74.88,6.03,1.04,2.19
25.82,73.66,7.98,0.75,1.76
24.21,63.19,4.61,0.26,1.51
28.81,37.69,5.1,0.47,1.75
32.61,49.44,7.65,0.29,2.11
31.08,78.11,5.3,0.68,1.72
32.12,32.65,7.01,0.52,2.18
30.85,71.47,4.73,0.38,1.72
31.59,78.84,6.5,0.95,1.76
31.22,27.28,5.93,0.28,1.85
31.06,27.0,5.83,0.22,1.52
23.99,48.54,4.86,0.55,1.9
26.76,58.34,6.77,0.91,2.14
19.41,37.5,6.38,1.13,2.13
29.68,20.0,7.22,0.21,2.0
29.03,78.04,4.11,0.39,1.81
24.41,32.97,4.04,0.84,2.05
32.95,59.71,5.4,0.54,1.73
31.55,49.77,7.19,0.32,1.65
24.12,56.4,6.23,0.21,1.95
22.8,65.45,5.04,0.75,1.62
34.45,66.45,7.51,1.13,2.04
30.44,44.05,5.08,0.59,1.54
31.38,33.52,7.87,0.28,2.17
24.73,79.51,5.88,0.66,1.89
22.59,48.1,7.27,0.56,2.02
32.03,24.0,5.23,0.68,1.69
26.01,42.12,6.17,0.77,2.1
32.21,15.26,4.51,0.51,1.54
24.57,76.31,6.7,0.34,1.66
27.13,61.59,5.65,0.4,1.94
16.67,63.36,6.62,0.2,2.1
30.81,40.0,4.0,0.93,1.73
21.11,29.16,5.69,0.87,1.5
15.06,29.24,6.03,1.0,1.91
25.93,23.42,7.8,0.82,1.62
18.42,73.49,5.2,0.59,1.96
28.1,40.78,6.28,0.9,1.92
33.29,72.2,6.82,0.74,2.06
32.39,49.3,4.32,0.3,2.17
17.29,56.51,6.89,0.33,1.68
23.78,66.4,5.96,1.15,1.83
31.78,39.78,7.89,0.78,1.74
34.15,31.38,6.83,0.98,2.03
25.31,67.31,7.61,0.64,1.98
21.7,31.34,4.48,0.45,1.82
23.41,15.74,4.17,1.16,1.88
16.31,25.3,7.89,1.01,1.98
26.57,65.96,5.88,0.74,1.95
22.82,20.03,6.92,0.96,1.84
26.84,47.55,6.33,1.09,2.11
34.77,27.29,4.92,0.77,1.75
32.93,49.5,7.27,0.48,1.61
30.2,24.2,5.42,0.26,1.57
26.21,31.52,7.74,0.22,2.01
29.63,28.69,4.7,1.08,1.73
15.52,20.6,7.84,0.24,1.89
26.39,36.25,7.39,0.96,2.17
23.59,76.9,4.01,0.81,2.07
28.79,46.69,6.36,0.35,2.12
21.6,64.41,5.23,0.91,2.11
34.36,63.86,5.15,0.27,1.96
26.38,20.57,7.33,0.74,2.17
15.49,68.57,6.39,1.0,1.86
20.62,73.51,7.65,0.52,1.92
30.34,32.48,5.26,1.18,1.52
28.59,39.25,5.35,0.51,2.01
21.29,44.96,4.39,0.69,1.68
15.76,63.54,5.9,0.37,1.63
24.04,62.6,5.13,1.2,1.9
21.66,21.74,7.05,0.3,2.1
25.7,47.28,4.48,1.02,1.56
34.12,59.52,7.17,0.82,1.88
24.95,52.12,7.87,0.27,1.85
21.63,28.14,7.8,1.19,1.74
19.85,58.79,4.49,0.7,1.53
17.97,47.61,5.54,0.96,1.69
31.87,74.6,7.82,0.69,1.71
33.99,62.38,5.7,0.77,2.1
27.27,53.19,6.56,1.05,1.78
24.55,20.32,6.24,0.64,1.8
19.35,56.96,5.57,1.18,1.8
25.98,48.49,6.19,0.34,1.86
29.66,67.39,7.06,0.61,1.66
15.44,48.31,5.71,0.98,1.86
34.53,50.66,6.15,0.42,1.95
15.15,26.51,4.46,0.68,2.13
31.96,19.2,7.06,0.92,1.9
26.15,64.13,7.84,0.72,1.6
19.16,57.01,6.23,0.52,2.2
27.92,63.03,6.62,0.3,2.09
17.66,55.86,6.2,0.45,1.79
15.7,62.97,4.62,0.39,2.14
19.53,24.28,4.47,0.38,1.8
23.19,58.73,6.84,0.43,1.94
30.69,71.75,4.75,0.21,1.57
29.97,29.49,4.41,0.97,1.92
21.66,66.88,4.19,0.33,1.83
25.77,35.76,4.3,0.71,2.02
32.1,65.82,6.34,1.01,2.05
16.5,26.06,7.12,0.66,1.91
26.94,66.21,6.72,1.03,1.52
27.47,61.68,7.81,1.0,1.54
23.05,60.15,5.51,0.91,1.71
25.51,48.75,5.17,0.77,2.15
34.3,55.3,5.55,0.76,1.99
22.57,53.94,7.77,0.76,1.98
27.98,55.76,5.73,0.86,1.7
19.42,59.8,5.41,0.99,2.04
33.72,66.06,6.65,0.7,2.13
31.25,18.83,7.55,1.13,1.93
17.88,45.28,4.69,1.11,1.53
33.76,35.84,7.64,1.16,1.68
15.66,69.33,7.67,1.03,1.91
27.25,18.5,4.95,1.14,1.56
27.81,50.74,4.81,0.3,1.77
33.07,38.91,7.96,0.96,1.51
19.57,75.98,5.22,0.4,1.83
17.03,38.44,6.13,0.95,1.94
16.09,58.57,6.05,0.41,1.66
33.89,39.66,6.0,1.17,1.62
32.79,26.24,5.27,0.54,2.18
22.47,30.35,7.19,0.79,2.01
19.88,18.01,5.49,0.34,1.84
17.77,20.72,4.85,0.33,1.77
22.34,28.28,4.98,0.28,2.04
30.38,31.67,4.45,0.46,1.81
22.33,72.83,4.86,1.11,1.93
20.1,30.89,4.21,0.21,1.5
31.64,21.53,7.2,0.67,1.75
32.76,41.15,5.79,0.97,1.82
16.64,23.25,6.94,0.31,1.95
34.63,28.84,7.25,0.9,2.05
33.81,57.49,5.07,0.45,1.83
26.68,24.66,6.82,0.56,2.16
24.86,31.3,6.44,0.9,1.75
28.57,29.22,6.36,0.56,2.01
25.67,70.68,5.85,0.99,1.71
31.45,52.01,7.32,0.87,1.67
18.16,21.38,4.69,0.21,1.74
20.25,46.76,7.49,0.92,1.61
27.39,27.44,6.71,0.5,2.04
25.01,56.17,5.45,1.0,2.18
20.79,16.33,7.39,0.22,1.9
23.23,37.22,4.18,1.15,1.67
33.48,28.48,7.59,0.68,2.01
19.93,65.57,4.3,0.61,1.9
34.49,77.31,6.57,0.93,1.59
16.13,36.6,6.47,0.89,1.84
26.67,69.04,4.05,0.52,2.08
27.72,59.6,7.88,0.93,2.2
26.36,78.82,7.07,1.07,2.05
25.17,29.0,7.47,1.16,1.68
34.2,17.98,4.24,0.67,1.51
16.78,77.78,6.09,0.2,1.85
16.07,40.42,6.45,1.15,1.63
29.94,52.8,7.68,1.0,1.85
17.24,37.94,5.52,1.06,1.52
29.35,46.64,7.34,0.27,1.69
25.08,48.88,7.16,1.07,1.56
25.13,40.36,6.95,0.53,1.78
28.39,36.84,6.16,0.62,1.81
18.46,72.77,4.75,0.29,1.82
28.53,45.14,6.38,0.43,1.93
21.36,40.94,6.58,0.23,2.18
18.47,26.83,4.24,0.44,1.84
21.87,52.41,7.83,0.74,2.11
34.84,73.18,7.38,0.79,2.12
24.16,72.91,5.19,0.9,1.91
19.94,75.41,5.76,0.55,1.82
27.89,59.31,6.43,0.67,1.65
18.74,23.87,6.02,1.02,2.16
26.03,26.71,5.67,0.46,1.59
19.91,17.02,7.73,0.75,1.98
19.07,64.54,4.83,0.56,1.88
19.12,47.73,6.65,0.98,1.52
15.95,42.98,6.39,1.12,1.72
27.83,58.1,5.04,0.21,2.17
23.86,56.54,7.74,0.99,1.91
31.33,51.93,6.64,0.3,2.05
23.25,67.1,5.8,0.47,2.03
32.41,54.93,7.02,0.25,1.53
22.36,64.94,7.86,0.91,1.87
31.42,39.0,7.21,0.5,2.07
21.92,28.54,5.04,0.55,1.99
19.31,36.14,5.32,0.7,2.16
28.0,77.45,6.09,0.93,1.87
22.21,65.64,4.94,1.07,2.04
27.85,77.86,7.13,0.42,1.82
16.2,44.26,6.44,0.36,1.91
25.6,76.71,4.27,0.65,1.58
15.03,68.7,6.86,0.49,1.62
21.54,79.56,5.5,0.74,2.02
32.23,74.53,6.81,0.88,1.62
25.54,30.81,4.14,0.57,1.81
23.89,50.1,4.24,0.5,2.02
26.96,52.1,7.98,0.82,1.76
26.89,29.96,7.29,0.59,1.71
18.52,28.08,5.01,1.18,1.57
23.06,59.86,6.93,1.16,2.09
27.35,75.72,6.98,0.49,1.91
26.73,57.13,4.26,1.05,2.2
23.56,36.29,4.47,1.13,2.12
29.47,31.94,7.26,0.47,1.74
15.59,59.09,5.11,0.8,2.05
34.82,42.55,6.1,0.99,2.11
20.43,39.12,5.94,0.31,2.1
23.96,35.72,7.37,0.83,2.05
31.91,77.39,4.92,0.46,1.82
15.79,16.19,4.36,0.97,1.57
18.16,22.31,4.35,0.75,1.83
